"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","GX123.NGDP_RPCH.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.210","2.820","2.044","-1.581","5.904","2.797","1.832","2.438","2.980","2.584"
"IMF.RES:WEO(9.0.0)","LUX.NGDP_RPCH.A","OBS_VALUE","Luxembourg","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.317","1.611","2.749","-0.510","6.930","-1.098","0.099","0.359","0.638","1.592"
"IMF.RES:WEO(9.0.0)","ITA.NGSD_NGDP.A","OBS_VALUE","Italy","Gross national savings, Percent of GDP","Annual","Units","20.609","21.162","21.521","21.660","24.008","22.769","23.292","23.348","23.462","23.808"
"IMF.RES:WEO(9.0.0)","ITA.NGDPD.A","OBS_VALUE","Italy","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1970.025","2100.387","2019.829","1905.956","2180.657","2105.723","2317.550","2382.718","2550.111","2738.164"
"IMF.RES:WEO(9.0.0)","ITA.NGDP_RPCH.A","OBS_VALUE","Italy","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.604","0.827","0.429","-8.868","8.931","4.821","0.923","0.783","0.540","0.521"
"IMF.RES:WEO(9.0.0)","DEU.NGDP_RPCH.A","OBS_VALUE","Germany","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.806","1.133","0.973","-4.127","3.913","1.807","-0.872","-0.496","0.240","0.791"
"IMF.RES:WEO(9.0.0)","FRA.NID_NGDP.A","OBS_VALUE","France","Gross capital formation, Percent of GDP","Annual","Units","22.181","22.612","23.025","22.804","23.447","24.023","22.958","21.520","22.058","21.333"
"IMF.RES:WEO(9.0.0)","DEU.NID_NGDP.A","OBS_VALUE","Germany","Gross capital formation, Percent of GDP","Annual","Units","20.691","21.650","21.381","21.729","22.673","23.276","21.994","21.499","21.931","21.519"
"IMF.RES:WEO(9.0.0)","FRA.NGDP_RPCH.A","OBS_VALUE","France","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.270","1.590","2.093","-7.603","6.795","2.797","1.620","1.107","0.928","0.858"
"IMF.RES:WEO(9.0.0)","DNK.NID_NGDP.A","OBS_VALUE","Denmark","Gross capital formation, Percent of GDP","Annual","Units","21.957","22.532","21.886","22.763","23.959","24.777","23.645","23.207","22.053","22.049"
"IMF.RES:WEO(9.0.0)","DNK.NGSD_NGDP.A","OBS_VALUE","Denmark","Gross national savings, Percent of GDP","Annual","Units","29.280","28.840","29.332","29.989","32.507","35.940","34.650","35.400","34.560","34.317"
"IMF.RES:WEO(9.0.0)","DEU.NGSD_NGDP.A","OBS_VALUE","Germany","Gross national savings, Percent of GDP","Annual","Units","28.753","30.072","29.254","28.047","29.582","27.087","27.512","27.308","26.347","25.402"
"IMF.RES:WEO(9.0.0)","DNK.PPPGDP.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","318.640","331.591","352.325","365.525","409.688","440.775","459.857","487.667","515.940","541.335"
"IMF.RES:WEO(9.0.0)","DEU.PPPGDP.A","OBS_VALUE","Germany","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","4475.279","4669.306","4928.323","4881.924","5245.574","5720.184","5880.111","5996.196","6181.073","6408.420"
"IMF.RES:WEO(9.0.0)","DNK.NGDPD.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","331.611","355.293","345.402","355.631","406.110","400.115","404.652","424.525","461.718","503.772"
"IMF.RES:WEO(9.0.0)","DNK.NGDP_RPCH.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.056","1.859","1.713","-1.781","6.499","0.444","0.607","3.479","2.879","2.000"
"IMF.RES:WEO(9.0.0)","FRA.NGSD_NGDP.A","OBS_VALUE","France","Gross national savings, Percent of GDP","Annual","Units","21.635","21.914","23.623","20.751","23.724","22.604","21.919","21.611","21.618","20.998"
"IMF.RES:WEO(9.0.0)","FRA.NGDPD.A","OBS_VALUE","France","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2587.955","2782.838","2723.094","2645.806","2968.405","2796.987","3061.095","3161.042","3368.925","3596.094"
"IMF.RES:WEO(9.0.0)","NLD.NGSD_NGDP.A","OBS_VALUE","Netherlands, The","Gross national savings, Percent of GDP","Annual","Units","28.267","29.329","28.555","27.044","32.441","29.642","29.503","28.812","28.455","28.433"
"IMF.RES:WEO(9.0.0)","NOR.PPPGDP.A","OBS_VALUE","Norway","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","352.653","385.742","393.766","375.376","499.939","557.347","580.008","602.870","626.700","654.160"
"IMF.RES:WEO(9.0.0)","NLD.NGDPD.A","OBS_VALUE","Netherlands, The","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","847.934","930.155","929.006","931.814","1055.173","1047.364","1135.803","1214.562","1332.240","1449.704"
"IMF.RES:WEO(9.0.0)","NOR.NGSD_NGDP.A","OBS_VALUE","Norway","Gross national savings, Percent of GDP","Annual","Units","31.440","34.538","31.557","30.813","37.845","48.828","40.725","38.664","37.280","37.376"
"IMF.RES:WEO(9.0.0)","NOR.NID_NGDP.A","OBS_VALUE","Norway","Gross capital formation, Percent of GDP","Annual","Units","25.993","25.950","27.905","29.018","23.409","20.995","23.604","23.660","23.207","23.089"
"IMF.RES:WEO(9.0.0)","SWE.NGDPD.A","OBS_VALUE","Sweden","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","535.172","549.649","530.894","544.266","631.693","575.071","578.991","604.827","668.999","760.481"
"IMF.RES:WEO(9.0.0)","LUX.NGSD_NGDP.A","OBS_VALUE","Luxembourg","Gross national savings, Percent of GDP","Annual","Units","25.333","25.308","27.181","22.613","23.660","22.449","23.253","20.108","20.205","20.128"
"IMF.RES:WEO(9.0.0)","LUX.NGDPD.A","OBS_VALUE","Luxembourg","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","65.689","71.118","69.880","73.612","86.444","80.865","88.814","93.252","101.100","110.417"
"IMF.RES:WEO(9.0.0)","ITA.NID_NGDP.A","OBS_VALUE","Italy","Gross capital formation, Percent of GDP","Annual","Units","18.169","18.661","18.364","17.899","22.001","24.598","23.071","22.269","22.250","23.189"
"IMF.RES:WEO(9.0.0)","SMR.NID_NGDP.A","OBS_VALUE","San Marino, Republic of","Gross capital formation, Percent of GDP","Annual","Units","19.119","20.609","24.024","18.051","22.235","23.026","16.583","16.919","16.526","16.413"
"IMF.RES:WEO(9.0.0)","SMR.NGDP_RPCH.A","OBS_VALUE","San Marino, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.267","1.482","2.023","-6.829","14.500","7.788","0.402","1.000","1.500","1.300"
"IMF.RES:WEO(9.0.0)","LUX.NID_NGDP.A","OBS_VALUE","Luxembourg","Gross capital formation, Percent of GDP","Annual","Units","18.890","16.995","18.653","17.929","18.688","17.033","16.426","15.843","15.502","15.628"
"IMF.RES:WEO(9.0.0)","ITA.PPPGDP.A","OBS_VALUE","Italy","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","2528.636","2609.653","2787.072","2641.205","2984.161","3350.508","3506.541","3621.731","3744.569","3871.906"
"IMF.RES:WEO(9.0.0)","SMR.PPPGDP.A","OBS_VALUE","San Marino, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1.775","1.880","1.991","1.920","2.218","2.560","2.666","2.759","2.880","3.001"
"IMF.RES:WEO(9.0.0)","LUX.PPPGDP.A","OBS_VALUE","Luxembourg","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","68.570","70.911","75.251","76.953","89.123","94.414","98.005","100.798","104.319","109.016"
"IMF.RES:WEO(9.0.0)","SMR.NGDPD.A","OBS_VALUE","San Marino, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.528","1.656","1.616","1.543","1.857","1.833","2.028","2.086","2.251","2.417"
"IMF.RES:WEO(9.0.0)","CHE.NGDPD.A","OBS_VALUE","Switzerland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","706.894","741.219","736.850","755.582","840.084","858.345","928.689","970.190","1043.544","1146.911"
"IMF.RES:WEO(9.0.0)","LIE.NGDP_RPCH.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.476","3.483","-2.176","-5.258","17.953","-4.833","3.428","-0.291","","-0.400"
