"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","THA.PPPGDP.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1250.522","1347.311","1427.827","1372.406","1451.544","1596.526","1692.686","1785.790","1880.755","1963.655"
"IMF.RES:WEO(9.0.0)","SGP.NGDP_RPCH.A","OBS_VALUE","Singapore","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.327","3.187","1.159","-3.611","10.141","4.010","1.450","5.344","5.023","3.507"
"IMF.RES:WEO(9.0.0)","PHL.NGDPD.A","OBS_VALUE","Philippines","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","328.481","346.842","376.823","361.751","394.087","404.353","437.055","461.617","487.161","512.222"
"IMF.RES:WEO(9.0.0)","SGP.NID_NGDP.A","OBS_VALUE","Singapore","Gross capital formation, Percent of GDP","Annual","Units","27.180","24.665","24.341","22.931","24.118","21.879","21.131","21.849","22.486","24.060"
"IMF.RES:WEO(9.0.0)","PHL.NGDP_RPCH.A","OBS_VALUE","Philippines","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","6.931","6.341","6.119","-9.518","5.715","7.581","5.519","5.692","4.403","4.066"
"IMF.RES:WEO(9.0.0)","PAK.NID_NGDP.A","OBS_VALUE","Pakistan","Gross capital formation, Percent of GDP","Annual","Units","16.333","17.068","15.500","14.816","14.535","15.561","13.968","13.184","14.305","14.823"
"IMF.RES:WEO(9.0.0)","PAK.PPPGDP.A","OBS_VALUE","Pakistan","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1069.379","1129.964","1162.667","1186.294","1285.343","1461.845","1512.714","1591.102","1686.854","1797.698"
"IMF.RES:WEO(9.0.0)","PAK.NGDP_RPCH.A","OBS_VALUE","Pakistan","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.609","6.096","3.120","-0.943","5.770","6.180","-0.212","2.634","3.093","3.603"
"IMF.RES:WEO(9.0.0)","MDV.NGSD_NGDP.A","OBS_VALUE","Maldives","Gross national savings, Percent of GDP","Annual","Units","22.125","21.133","17.091","0.440","16.532","16.733","11.880","15.793","27.253","23.037"
"IMF.RES:WEO(9.0.0)","PAK.NGDPD.A","OBS_VALUE","Pakistan","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","339.229","356.163","321.071","300.410","348.481","374.850","336.555","372.243","407.786",""
"IMF.RES:WEO(9.0.0)","MDV.NGDP_RPCH.A","OBS_VALUE","Maldives","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.074","8.569","6.923","-32.909","37.508","13.826","5.104","3.072","5.031","3.022"
"IMF.RES:WEO(9.0.0)","MDV.NID_NGDP.A","OBS_VALUE","Maldives","Gross capital formation, Percent of GDP","Annual","Units","42.820","48.970","43.161","35.512","25.186","32.990","33.051","34.498","35.671","40.592"
"IMF.RES:WEO(9.0.0)","PLW.NGDPD.A","OBS_VALUE","Palau, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.290","0.288","0.282","0.259","0.236","0.247","0.276","0.322","0.345","0.377"
"IMF.RES:WEO(9.0.0)","NPL.NID_NGDP.A","OBS_VALUE","Nepal","Gross capital formation, Percent of GDP","Annual","Units","37.325","39.548","41.379","30.440","35.164","37.644","31.149","30.399","31.792","34.883"
"IMF.RES:WEO(9.0.0)","PAK.NGSD_NGDP.A","OBS_VALUE","Pakistan","Gross national savings, Percent of GDP","Annual","Units","12.716","11.679","11.316","13.335","13.725","10.897","12.995","12.628","14.779","14.387"
"IMF.RES:WEO(9.0.0)","NPL.NGDP_RPCH.A","OBS_VALUE","Nepal","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","8.977","7.622","6.657","-2.370","4.838","5.631","1.983","3.665","4.604","2.956"
"IMF.RES:WEO(9.0.0)","G603.NGDP_RPCH.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.782","3.192","3.000","-3.100","3.932","4.437","3.762","4.175","4.494","4.320"
"IMF.RES:WEO(9.0.0)","DJI.NID_NGDP.A","OBS_VALUE","Djibouti","Gross capital formation, Percent of GDP","Annual","Units","21.633","2.787","2.281","-0.249","-15.678","-10.596","-3.735","0.252","7.434","9.571"
"IMF.RES:WEO(9.0.0)","G603.NGSD_NGDP.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Gross national savings, Percent of GDP","Annual","Units","17.762","18.098","18.945","18.451","19.551","18.426","17.249","17.729","17.663","19.333"
"IMF.RES:WEO(9.0.0)","G603.PPPGDP.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","4351.683","4553.304","4889.036","4930.575","5427.580","6069.631","6528.170","6965.145","7478.887","8021.927"
"IMF.RES:WEO(9.0.0)","PHL.NGSD_NGDP.A","OBS_VALUE","Philippines","Gross national savings, Percent of GDP","Annual","Units","24.906","24.591","25.593","20.634","19.633","20.170","20.572","19.663","18.966","16.643"
"IMF.RES:WEO(9.0.0)","THA.NGDP_RPCH.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.178","4.223","2.115","-6.093","1.553","2.685","2.240","2.945","2.413","1.500"
"IMF.RES:WEO(9.0.0)","THA.NGSD_NGDP.A","OBS_VALUE","Thailand","Gross national savings, Percent of GDP","Annual","Units","32.565","30.839","30.863","27.908","26.535","24.395","24.034","23.648","25.141","22.829"
"IMF.RES:WEO(9.0.0)","PHL.NID_NGDP.A","OBS_VALUE","Philippines","Gross capital formation, Percent of GDP","Annual","Units","25.559","27.151","26.402","17.433","21.141","24.686","23.406","23.685","22.310","20.993"
"IMF.RES:WEO(9.0.0)","THA.NGDPD.A","OBS_VALUE","Thailand","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","456.357","506.754","543.977","500.275","506.050","495.692","517.013","529.386","577.010","579.996"
"IMF.RES:WEO(9.0.0)","THA.NID_NGDP.A","OBS_VALUE","Thailand","Gross capital formation, Percent of GDP","Annual","Units","22.934","25.220","23.815","23.764","28.677","27.823","22.394","21.453","22.071","22.121"
"IMF.RES:WEO(9.0.0)","PHL.PPPGDP.A","OBS_VALUE","Philippines","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","840.501","914.883","988.832","923.367","1001.825","1154.428","1263.212","1368.259","1469.033","1572.561"
"IMF.RES:WEO(9.0.0)","AGO.NID_NGDP.A","OBS_VALUE","Angola","Gross capital formation, Percent of GDP","Annual","Units","28.756","23.935","24.536","19.758","16.246","14.506","12.439","10.638","12.507","11.364"
"IMF.RES:WEO(9.0.0)","AGO.NGSD_NGDP.A","OBS_VALUE","Angola","Gross national savings, Percent of GDP","Annual","Units","28.310","30.346","29.932","21.077","26.363","22.958","16.138","15.915","12.885","13.574"
"IMF.RES:WEO(9.0.0)","AGO.NGDP_RPCH.A","OBS_VALUE","Angola","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-0.140","-0.590","-0.200","-4.040","2.100","4.220","1.320","4.953","3.130","2.294"
"IMF.RES:WEO(9.0.0)","DZA.NGDP_RPCH.A","OBS_VALUE","Algeria","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.500","1.400","0.900","-5.000","3.800","3.600","4.100","3.700","3.822","3.777"
"IMF.RES:WEO(9.0.0)","AGO.PPPGDP.A","OBS_VALUE","Angola","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","245.679","261.964","279.132","260.322","301.129","336.158","353.198","379.894","402.898","423.947"
"IMF.RES:WEO(9.0.0)","DJI.PPPGDP.A","OBS_VALUE","Djibouti","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","4.933","5.448","5.877","6.108","6.683","7.528","8.338","9.141","9.965","10.865"
"IMF.RES:WEO(9.0.0)","DJI.NGSD_NGDP.A","OBS_VALUE","Djibouti","Gross national savings, Percent of GDP","Annual","Units","16.838","17.499","20.540","11.404","-22.284","8.355","14.423","14.805","17.598","19.675"
"IMF.RES:WEO(9.0.0)","VNM.PPPGDP.A","OBS_VALUE","Vietnam","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","872.747","963.333","1071.756","1138.632","1192.059","1385.854","1509.922","1654.976","1838.398","2025.331"
"IMF.RES:WEO(9.0.0)","VNM.NID_NGDP.A","OBS_VALUE","Vietnam","Gross capital formation, Percent of GDP","Annual","Units","32.305","32.020","31.980","31.916","32.896","32.340","31.647","30.585","30.795","31.702"
"IMF.RES:WEO(9.0.0)","DJI.NGDPD.A","OBS_VALUE","Djibouti","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.763","2.913","3.089","3.144","3.393","3.563","3.898","4.152","4.378","4.725"
"IMF.RES:WEO(9.0.0)","VNM.NGDP_RPCH.A","OBS_VALUE","Vietnam","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","6.940","7.465","7.359","2.865","2.554","8.538","5.065","6.952","8.019","7.100"
"IMF.RES:WEO(9.0.0)","VNM.NGDPD.A","OBS_VALUE","Vietnam","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","277.076","304.474","331.811","346.283","370.065","411.031","432.981","459.448","494.046","527.266"
"IMF.RES:WEO(9.0.0)","VNM.NGSD_NGDP.A","OBS_VALUE","Vietnam","Gross national savings, Percent of GDP","Annual","Units","31.709","33.916","35.741","36.267","30.695","32.683","38.027","37.205","37.507","36.954"
"IMF.RES:WEO(9.0.0)","DJI.NGDP_RPCH.A","OBS_VALUE","Djibouti","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.458","4.774","5.545","1.202","4.407","5.167","6.807","6.980","6.000","6.000"
"IMF.RES:WEO(9.0.0)","G603.NID_NGDP.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Gross capital formation, Percent of GDP","Annual","Units","19.335","19.539","21.508","20.820","20.228","20.226","19.604","18.847","18.706","19.997"
"IMF.RES:WEO(9.0.0)","CMR.PPPGDP.A","OBS_VALUE","Cameroon","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","90.903","99.493","108.174","114.421","129.022","143.363","153.644","163.008","172.783","183.677"
"IMF.RES:WEO(9.0.0)","CPV.NID_NGDP.A","OBS_VALUE","Cabo Verde","Gross capital formation, Percent of GDP","Annual","Units","29.283","27.486","23.449","28.891","27.750","25.726","23.418","23.314","22.316","21.223"
"IMF.RES:WEO(9.0.0)","BDI.PPPGDP.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","8.760","8.936","9.539","9.933","10.863","11.849","12.614","13.463","14.386","15.363"
"IMF.RES:WEO(9.0.0)","CMR.NGSD_NGDP.A","OBS_VALUE","Cameroon","Gross national savings, Percent of GDP","Annual","Units","16.864","16.037","14.668","13.945","14.133","15.705","15.161","15.637","14.897","14.585"
"IMF.RES:WEO(9.0.0)","CPV.PPPGDP.A","OBS_VALUE","Cabo Verde","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","4.070","4.064","4.442","3.536","3.971","4.927","5.354","5.885","6.385","6.882"
"IMF.RES:WEO(9.0.0)","DZA.NID_NGDP.A","OBS_VALUE","Algeria","Gross capital formation, Percent of GDP","Annual","Units","50.927","48.939","47.041","44.520","40.518","35.583","38.307","41.124","47.058","42.300"
"IMF.RES:WEO(9.0.0)","BWA.NGDPD.A","OBS_VALUE","Botswana","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","16.105","17.032","16.696","14.930","18.750","20.321","19.411","19.356","19.533","21.937"
"IMF.RES:WEO(9.0.0)","BWA.NID_NGDP.A","OBS_VALUE","Botswana","Gross capital formation, Percent of GDP","Annual","Units","25.006","25.903","30.876","32.794","27.364","26.791","30.296","36.276","24.802","29.945"
"IMF.RES:WEO(9.0.0)","BWA.NGSD_NGDP.A","OBS_VALUE","Botswana","Gross national savings, Percent of GDP","Annual","Units","31.350","26.581","23.825","26.566","28.147","26.685","31.106","30.182","28.459","28.033"
"IMF.RES:WEO(9.0.0)","DZA.PPPGDP.A","OBS_VALUE","Algeria","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","562.537","583.472","601.471","558.300","648.896","720.069","777.328","826.100","882.007","941.544"
"IMF.RES:WEO(9.0.0)","BWA.PPPGDP.A","OBS_VALUE","Botswana","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","35.589","36.294","37.153","36.107","43.131","48.734","52.158","51.855","52.853","56.949"
"IMF.RES:WEO(9.0.0)","DZA.NGSD_NGDP.A","OBS_VALUE","Algeria","Gross national savings, Percent of GDP","Annual","Units","39.174","40.259","38.295","33.182","38.090","44.030","40.716","40.051","39.341","41.116"
"IMF.RES:WEO(9.0.0)","BWA.NGDP_RPCH.A","OBS_VALUE","Botswana","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.113","4.190","3.033","-8.726","11.913","5.486","3.208","-2.990","-0.887","4.749"
"IMF.RES:WEO(9.0.0)","AGO.NGDPD.A","OBS_VALUE","Angola","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","141.911","115.456","95.210","66.136","83.022","139.171","113.135","119.574","141.728","152.354"
"IMF.RES:WEO(9.0.0)","DZA.NGDPD.A","OBS_VALUE","Algeria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","190.004","194.507","193.361","164.774","185.850","225.709","248.087","269.140","285.724","317.173"
"IMF.RES:WEO(9.0.0)","COG.NGDP_RPCH.A","OBS_VALUE","Congo, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-5.595","-2.304","1.124","-6.268","1.057","1.799","1.977","2.112","2.367","2.837"
"IMF.RES:WEO(9.0.0)","COM.NGDP_RPCH.A","OBS_VALUE","Comoros, Union of the","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.816","3.642","1.761","-0.196","2.000","2.603","2.995","3.339","3.776","4.083"
"IMF.RES:WEO(9.0.0)","COM.NID_NGDP.A","OBS_VALUE","Comoros, Union of the","Gross capital formation, Percent of GDP","Annual","Units","14.278","15.947","16.473","17.916","16.312","12.534","8.013","7.087","5.272","4.198"
"IMF.RES:WEO(9.0.0)","TCD.NID_NGDP.A","OBS_VALUE","Chad","Gross capital formation, Percent of GDP","Annual","Units","32.953","35.271","33.625","32.787","33.081","28.667","30.872","32.045","32.441","34.245"
"IMF.RES:WEO(9.0.0)","TCD.PPPGDP.A","OBS_VALUE","Chad","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","32.551","35.607","39.007","37.294","43.654","48.942","53.279","57.339","62.271","67.405"
"IMF.RES:WEO(9.0.0)","COG.NGSD_NGDP.A","OBS_VALUE","Congo, Republic of","Gross national savings, Percent of GDP","Annual","Units","39.460","48.016","37.579","36.293","34.982","43.425","22.396","24.135","21.671","23.192"
"IMF.RES:WEO(9.0.0)","COG.NID_NGDP.A","OBS_VALUE","Congo, Republic of","Gross capital formation, Percent of GDP","Annual","Units","45.894","29.527","25.900","23.732","22.157","26.394","27.364","27.146","27.559","29.224"
"IMF.RES:WEO(9.0.0)","CMR.NGDP_RPCH.A","OBS_VALUE","Cameroon","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.541","3.956","3.475","0.260","3.339","3.737","3.347","3.525","3.073","3.344"
"IMF.RES:WEO(9.0.0)","CAF.NGDPD.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.198","2.383","2.444","2.503","2.711","2.565","2.722","2.868","3.192","3.492"
"IMF.RES:WEO(9.0.0)","CAF.NGSD_NGDP.A","OBS_VALUE","Central African Republic","Gross national savings, Percent of GDP","Annual","Units","6.793","8.627","9.461","11.202","2.570","1.988","6.818","6.962","13.028","13.483"
"IMF.RES:WEO(9.0.0)","CPV.NGSD_NGDP.A","OBS_VALUE","Cabo Verde","Gross national savings, Percent of GDP","Annual","Units","25.504","25.584","25.990","17.763","17.624","18.459","15.924","20.079","25.953","20.805"
"IMF.RES:WEO(9.0.0)","CMR.NID_NGDP.A","OBS_VALUE","Cameroon","Gross capital formation, Percent of GDP","Annual","Units","19.445","19.538","18.935","17.661","18.127","19.107","19.285","18.905","18.674","19.665"
"IMF.RES:WEO(9.0.0)","CAF.NGDP_RPCH.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.528","3.200","4.014","0.901","0.086","0.795","0.097","3.099","4.801","2.613"
"IMF.RES:WEO(9.0.0)","CMR.NGDPD.A","OBS_VALUE","Cameroon","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","36.086","39.992","39.673","40.832","45.036","44.443","48.822","53.308","59.282","65.135"
"IMF.RES:WEO(9.0.0)","BDI.NID_NGDP.A","OBS_VALUE","Burundi","Gross capital formation, Percent of GDP","Annual","Units","18.286","18.786","19.286","19.930","21.769","20.936","22.320","19.571","18.647","18.525"
"IMF.RES:WEO(9.0.0)","BDI.NGDP_RPCH.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.500","1.610","1.842","0.335","3.119","1.827","2.659","4.149","3.904","3.819"
"IMF.RES:WEO(9.0.0)","CPV.NGDP_RPCH.A","OBS_VALUE","Cabo Verde","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.551","3.707","6.948","-20.805","7.034","15.844","4.795","7.244","5.513","4.787"
"IMF.RES:WEO(9.0.0)","BDI.NGSD_NGDP.A","OBS_VALUE","Burundi","Gross national savings, Percent of GDP","Annual","Units","6.511","5.969","7.716","8.775","9.125","4.142","7.535","11.002","12.497","13.029"
"IMF.RES:WEO(9.0.0)","BDI.NGDPD.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3.172","3.037","3.009","3.089","3.356","3.922","4.291","4.838","6.918","8.137"
"IMF.RES:WEO(9.0.0)","CAF.NID_NGDP.A","OBS_VALUE","Central African Republic","Gross capital formation, Percent of GDP","Annual","Units","13.263","16.086","14.283","18.367","15.604","14.802","14.982","16.357","16.677","16.889"
"IMF.RES:WEO(9.0.0)","CPV.NGDPD.A","OBS_VALUE","Cabo Verde","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.997","2.205","2.251","1.829","2.053","2.252","2.501","2.726","3.081","3.448"
"IMF.RES:WEO(9.0.0)","BEN.NGDP_RPCH.A","OBS_VALUE","Benin","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.626","6.579","7.090","3.791","7.155","6.253","6.353","7.453","7.500","6.972"
"IMF.RES:WEO(9.0.0)","BEN.PPPGDP.A","OBS_VALUE","Benin","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","34.935","36.918","40.925","42.407","46.468","52.885","58.326","64.229","71.005","78.131"
"IMF.RES:WEO(9.0.0)","COD.NGDPD.A","OBS_VALUE","Congo, Democratic Republic of the","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","37.499","46.660","46.844","46.682","59.068","70.422","69.844","76.731","92.833","123.406"
"IMF.RES:WEO(9.0.0)","COD.NID_NGDP.A","OBS_VALUE","Congo, Democratic Republic of the","Gross capital formation, Percent of GDP","Annual","Units","12.512","12.539","13.615","11.787","13.833","11.645","15.536","13.809","13.353","14.931"
"IMF.RES:WEO(9.0.0)","COD.NGDP_RPCH.A","OBS_VALUE","Congo, Democratic Republic of the","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.241","6.072","0.555","0.775","6.430","9.311","8.533","6.064","5.746","5.901"
"IMF.RES:WEO(9.0.0)","COD.PPPGDP.A","OBS_VALUE","Congo, Democratic Republic of the","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","86.260","94.448","98.168","104.513","139.045","162.802","183.232","199.168","216.586","235.938"
"IMF.RES:WEO(9.0.0)","ERI.NGDPD.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.904","2.006","1.982","","","","","","",""
"IMF.RES:WEO(9.0.0)","COD.NGSD_NGDP.A","OBS_VALUE","Congo, Democratic Republic of the","Gross national savings, Percent of GDP","Annual","Units","9.202","8.955","10.156","9.533","12.839","7.978","10.270","9.655","9.615","12.954"
"IMF.RES:WEO(9.0.0)","BEN.NGDPD.A","OBS_VALUE","Benin","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.766","14.346","14.697","15.674","17.699","17.439","19.679","21.487","24.382","27.786"
"IMF.RES:WEO(9.0.0)","GNQ.NGDP_RPCH.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-5.668","-6.237","-5.482","-4.791","0.860","3.224","-5.089","0.882","-6.358","-2.686"
"IMF.RES:WEO(9.0.0)","GNQ.NGDPD.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.197","13.309","11.365","9.908","12.222","13.717","12.339","12.769","12.484","13.722"
"IMF.RES:WEO(9.0.0)","COM.NGSD_NGDP.A","OBS_VALUE","Comoros, Union of the","Gross national savings, Percent of GDP","Annual","Units","12.030","12.968","13.018","16.107","15.992","12.105","6.510","4.802","2.355","0.021"
"IMF.RES:WEO(9.0.0)","COG.NGDPD.A","OBS_VALUE","Congo, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","11.830","14.781","13.977","11.485","13.387","13.967","14.169","14.774","15.592","17.028"
"IMF.RES:WEO(9.0.0)","CAF.PPPGDP.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","4.495","4.739","5.358","5.758","6.211","6.706","6.961","7.355","7.927","8.367"
"IMF.RES:WEO(9.0.0)","COG.PPPGDP.A","OBS_VALUE","Congo, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","23.783","30.668","32.125","27.446","33.306","36.316","38.405","40.189","42.308","44.754"
"IMF.RES:WEO(9.0.0)","COM.PPPGDP.A","OBS_VALUE","Comoros, Union of the","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","2.533","2.528","2.590","2.603","2.764","3.037","3.244","3.436","3.666","3.925"
"IMF.RES:WEO(9.0.0)","TCD.NGSD_NGDP.A","OBS_VALUE","Chad","Gross national savings, Percent of GDP","Annual","Units","27.214","31.316","30.623","30.281","32.546","35.011","32.463","33.402","32.670","35.079"
"IMF.RES:WEO(9.0.0)","TCD.NGDPD.A","OBS_VALUE","Chad","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","13.258","15.169","14.819","14.812","16.975","18.052","18.638","20.656","22.092","25.628"
"IMF.RES:WEO(9.0.0)","COM.NGDPD.A","OBS_VALUE","Comoros, Union of the","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.077","1.179","1.188","1.218","1.273","1.224","1.329","1.442","1.609","1.814"
"IMF.RES:WEO(9.0.0)","TCD.NGDP_RPCH.A","OBS_VALUE","Chad","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-2.089","5.239","5.874","0.033","1.974","4.668","4.978","5.013","5.606","5.230"
"IMF.RES:WEO(9.0.0)","ERI.NGDP_RPCH.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-10.015","13.032","3.836","","","","","","",""
"IMF.RES:WEO(9.0.0)","ETH.PPPGDP.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","219.854","236.067","259.535","286.176","316.145","360.174","400.285","443.251","497.540","558.897"
"IMF.RES:WEO(9.0.0)","GAB.NGSD_NGDP.A","OBS_VALUE","Gabon","Gross national savings, Percent of GDP","Annual","Units","29.242","34.156","34.554","29.556","36.891","38.171","37.893","39.329","35.368","34.134"
"IMF.RES:WEO(9.0.0)","GMB.NGDP_RPCH.A","OBS_VALUE","Gambia, The","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.823","7.235","6.222","0.591","5.256","5.493","5.917","5.551","6.004","5.112"
"IMF.RES:WEO(9.0.0)","GAB.NGDP_RPCH.A","OBS_VALUE","Gabon","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.473","0.909","3.848","-1.838","1.468","3.038","2.446","3.387","2.512","2.665"
"IMF.RES:WEO(9.0.0)","GAB.PPPGDP.A","OBS_VALUE","Gabon","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","31.915","34.049","36.169","33.624","44.025","48.589","51.619","54.693","57.657","60.889"
"IMF.RES:WEO(9.0.0)","GMB.NGSD_NGDP.A","OBS_VALUE","Gambia, The","Gross national savings, Percent of GDP","Annual","Units","13.252","6.170","13.361","14.809","18.055","20.631","19.246","18.207","19.546","19.600"
"IMF.RES:WEO(9.0.0)","GAB.NID_NGDP.A","OBS_VALUE","Gabon","Gross capital formation, Percent of GDP","Annual","Units","29.948","27.009","29.954","30.053","33.630","29.325","34.888","37.615","38.510","38.405"
"IMF.RES:WEO(9.0.0)","GMB.PPPGDP.A","OBS_VALUE","Gambia, The","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","4.776","5.465","5.950","6.367","7.156","8.086","8.881","9.607","10.472","11.323"
"IMF.RES:WEO(9.0.0)","ETH.NID_NGDP.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Gross capital formation, Percent of GDP","Annual","Units","38.444","34.163","35.264","30.752","28.025","25.342","22.169","20.632","20.120","27.187"
"IMF.RES:WEO(9.0.0)","BEN.NGSD_NGDP.A","OBS_VALUE","Benin","Gross national savings, Percent of GDP","Annual","Units","15.328","16.528","17.778","23.887","24.697","25.461","26.355","29.020","28.209","29.843"
"IMF.RES:WEO(9.0.0)","ERI.NID_NGDP.A","OBS_VALUE","Eritrea, The State of","Gross capital formation, Percent of GDP","Annual","Units","8.657","2.927","5.006","","","","","","",""
"IMF.RES:WEO(9.0.0)","GNQ.NGSD_NGDP.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross national savings, Percent of GDP","Annual","Units","21.060","26.183","21.355","28.060","34.584","35.467","30.066","28.254","25.944","27.252"
"IMF.RES:WEO(9.0.0)","ERI.PPPGDP.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","5.322","6.095","6.369","","","","","","",""
"IMF.RES:WEO(9.0.0)","GNQ.PPPGDP.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","28.802","30.232","27.477","23.476","29.585","32.711","32.195","33.285","32.053","32.086"
