scenario_code,scenario,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining,combined_model,combined_model_label,projected_pathway,trajectory_label,analysis,ssp,s_mil_2025_assumed,cum_E_mil_Gt
S1,"NATO→3.5%, nonNATO holds",26.528273731090906,19.63092256100727,15.100709662313285,1.869611672476883,84.89929033768672,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-1.9,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-1.9 — S1: NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP1-1.9,0.055,
S2,"NATO→3.5%, nonNATO→3.5%",32.10322768585105,23.75638848752978,18.274144990407525,2.2625131892885504,81.72585500959248,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-1.9,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-1.9 — S2: NATO/non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP1-1.9,0.055,
S3,"NATO→5%, nonNATO→3.5%",35.00372599948436,25.902757239618424,19.925197876629557,2.4669292609160403,80.07480212337045,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-1.9,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-1.9 — S3: NATO 5%; non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP1-1.9,0.055,
S0,Baseline,51.06878745598724,37.790902717430555,29.069925167254272,3.5991335921362433,70.93007483274573,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-2.6,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-2.6 — S0: Baseline,SA2_AR6_dynamic_v32_split,SSP1-2.6,0.055,
S1,"NATO→3.5%, nonNATO holds",54.51425109223854,40.340545808256515,31.031189083274242,3.8419567436434776,68.96881091672576,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-2.6,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-2.6 — S1: NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP1-2.6,0.055,
S2,"NATO→3.5%, nonNATO→3.5%",67.17603537914468,49.71026618056706,38.23866629274389,4.734311064815911,61.76133370725611,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-2.6,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-2.6 — S2: NATO/non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP1-2.6,0.055,
S3,"NATO→5%, nonNATO→3.5%",73.63627969711587,54.49084697586574,41.91603613528134,5.1896044738919755,58.08396386471866,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP1-2.6,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP1-2.6 — S3: NATO 5%; non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP1-2.6,0.055,
S0,Baseline,75.79192454370752,56.08602416234357,43.143095509495055,5.341526110699388,56.856904490504945,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP2-4.5,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP2-4.5 — S0: Baseline,SA2_AR6_dynamic_v32_split,SSP2-4.5,0.055,
S1,"NATO→3.5%, nonNATO holds",81.18433360120292,60.07640686489016,46.21262066530012,5.721562558560968,53.78737933469988,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP2-4.5,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP2-4.5 — S1: NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP2-4.5,0.055,
S2,"NATO→3.5%, nonNATO→3.5%",101.09619490154888,74.81118422714617,57.54706479011244,7.124874688299635,42.45293520988756,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP2-4.5,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP2-4.5 — S2: NATO/non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP2-4.5,0.055,
