combined_model,combined_model_label,projected_pathway,ar6_model,ar6_scenario,scenario_code,scenario,trajectory_label
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP3-7.0,MIGRATION 1.0,SSP3-7.0_zeromig,S0,Baseline,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP3-7.0 — MIGRATION 1.0 / SSP3-7.0_zeromig — S0: Baseline
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP3-7.0,MIGRATION 1.0,SSP3-7.0_zeromig,S1,"NATO→3.5%, nonNATO holds",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP3-7.0 — MIGRATION 1.0 / SSP3-7.0_zeromig — S1: NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP3-7.0,MIGRATION 1.0,SSP3-7.0_zeromig,S2,"NATO→3.5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP3-7.0 — MIGRATION 1.0 / SSP3-7.0_zeromig — S2: NATO/non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP3-7.0,MIGRATION 1.0,SSP3-7.0_zeromig,S3,"NATO→5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP3-7.0 — MIGRATION 1.0 / SSP3-7.0_zeromig — S3: NATO 5%; non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP5-8.5,MIGRATION 1.0,SSP5-8.5_zeromig,S0,Baseline,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP5-8.5 — MIGRATION 1.0 / SSP5-8.5_zeromig — S0: Baseline
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP5-8.5,MIGRATION 1.0,SSP5-8.5_zeromig,S1,"NATO→3.5%, nonNATO holds",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP5-8.5 — MIGRATION 1.0 / SSP5-8.5_zeromig — S1: NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP5-8.5,MIGRATION 1.0,SSP5-8.5_zeromig,S2,"NATO→3.5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP5-8.5 — MIGRATION 1.0 / SSP5-8.5_zeromig — S2: NATO/non-NATO 3.5%
SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP5-8.5,MIGRATION 1.0,SSP5-8.5_zeromig,S3,"NATO→5%, nonNATO→3.5%",SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP5-8.5 — MIGRATION 1.0 / SSP5-8.5_zeromig — S3: NATO 5%; non-NATO 3.5%
SA3,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),PPP recalibrated original-model dynamics,,,S0,Baseline,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline
SA3,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),PPP recalibrated original-model dynamics,,,S1,"NATO→3.5%, nonNATO holds",SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S1: NATO 3.5%
SA3,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),PPP recalibrated original-model dynamics,,,S2,"NATO→3.5%, nonNATO→3.5%",SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S2: NATO/non-NATO 3.5%
SA3,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),PPP recalibrated original-model dynamics,,,S3,"NATO→5%, nonNATO→3.5%",SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S3: NATO 5%; non-NATO 3.5%
