year,analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,GDP_world,GDP_NATO,GDP_nonNATO,s_NATO_GDP,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,economy_GHG_intensity,intensity_multiplier_q,E_mil_Gt,E_rest_Gt,E_world_Gt,E_world_AR6_Gt,s_mil,GDP_model_basis,bloc_split_basis,ar6_model,ar6_scenario,world_GHG_minus_AR6_Gt,E_mil_S0_Gt,E_world_S0_Gt,incremental_E_mil_vs_S0_Gt,incremental_E_world_vs_S0_Gt,cum_E_mil_Gt,cum_incremental_E_mil_vs_S0_Gt,cum_incremental_E_world_vs_S0_Gt
2029,SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,175.0120572110772,87.82105030851855,87.19100690255866,0.5018,0.029845109579542582,0.022985547972701727,2.6210288698482582,2.0041330719469292,4.625161941795188,0.5237927016197961,0.39355675405310236,0.39681265274226973,0.885875133893241,2.4226260689219634,67.05691343536454,69.47953950428649,69.44699868380943,0.03486819409291711,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.032540820477066745,2.291750956565711,69.44699868380941,0.13087511235625238,0.032540820477080956,11.333005335576205,0.27559589518246286,0.06852423190240131
2030,SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,183.69180356957398,92.17654703121222,91.51525653836175,0.5018,0.030999999999995285,0.022985547972701727,2.8574729579671443,2.1035283193966197,4.9610012773637635,0.507695686848064,0.3814621050365795,0.38461794458186666,0.8586507279935566,2.518678950965319,68.17902807726323,70.69770702822855,70.65116392546554,0.035626034518483715,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.046543102763010324,2.331488409540363,70.65116392546554,0.18719054142495573,0.046543102763010324,13.851684286541524,0.4627864366074186,0.11506733466541164
2031,SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,192.3472811262712,96.5198656691629,95.82741545710832,0.5018,0.03215489042044799,0.022985547972701727,3.103585703988293,2.2026456550893823,5.306231359077675,0.49546145895237304,0.37226979860679466,0.3753495901154341,0.8379593395078831,2.629033130707458,69.62973392803659,72.25876705874404,72.19747313056408,0.03638358690192069,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.06129392817996404,2.382516613308615,72.19747313056408,0.24651651739884306,0.06129392817996404,16.480717417248982,0.7093029540062616,0.17636126284537568
2032,SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,201.41060100515517,101.06783958438687,100.3427614207683,0.5018,0.033179069054221584,0.022985547972701727,3.353336828731362,2.306433356350434,5.659770185081795,0.48322789560555174,0.3630779914922832,0.36608173909511493,0.8172690749540954,2.73495883614812,71.07281848709798,73.8077773232461,73.73274308815951,0.03705515780769531,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.07503423508659068,2.433180521909264,73.73274308815951,0.3017783142388559,0.07503423508659068,19.215676253397103,1.0110812682451176,0.25139549793196636
2033,SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,210.9009805583224,105.83011204416619,105.07086851415622,0.5018,0.03399498385901843,0.022985547972701727,3.5976929507395417,2.415111488765573,6.012804439505114,0.47064988225491444,0.3536273785085488,0.3565529411022079,0.7959962522770151,2.8299257014749086,72.45406860829522,75.28399430977012,75.19736489940942,0.0375900047204011,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.08662941036070038,2.4815130416805107,75.19736489940944,0.34841265979439795,0.08662941036068617,22.045601954872012,1.3594939280395155,0.3380249082926525
2034,SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,220.8385426511057,110.81678070232485,110.02176194878086,0.5018,0.034591224067421655,0.022985547972701727,3.8332880917044467,2.528910487314872,6.362198579019319,0.45803712695549664,0.34415066182281684,0.3469978234511338,0.7746646715675443,2.9141231582543523,73.81217575774672,76.72629891600107,76.63049363405406,0.03798076017513494,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.09580528194700833,2.528806289923784,76.63049363405406,0.38531686833056833,0.09580528194700833,24.959725113126364,1.7448107963700838,0.43383019023966085
2035,SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,231.244358329465,116.03841900972554,115.20593931973946,0.5018,0.03499999999999057,0.022985547972701727,4.0613446653393,2.6480716449740354,6.709416310313335,0.4454577955111513,0.3346990584765216,0.3374680269023873,0.7533896196374855,2.9887617987587407,75.15163368889043,78.14039548764917,78.03757733775319,0.03824861366655282,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.10281814989598104,2.575240052145855,78.03757733775319,0.41352174661288554,0.10281814989598104,27.948486911885105,2.1583325429829694,0.5366483401356419
2025,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,144.2051385147961,72.36213850672468,71.84300000807141,0.5018,0.027,0.022985547972701727,1.9537777396815663,1.651350723188336,3.605128462869902,0.5912714801213955,0.4442575922901239,0.4479329394859057,1.0,2.1316096422688586,62.462621941635945,64.5942315839048,64.5942315839048,0.033,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.0,2.1316096422688586,64.5942315839048,0.0,0.0,2.1316096422688586,0.0,0.0
2026,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,151.357011624834,75.95094843334171,75.4060631914923,0.5018,0.02740877593256891,0.023599450326672138,2.0817225274755584,1.7795416426175228,3.861264170093081,0.5737796839703209,0.431114960683217,0.4346815787653946,0.9704166415273685,2.215514935241931,63.58762336489233,65.80313830013426,65.79210477029503,0.033668833926077515,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.011033529839238554,2.171139457419736,65.79210477029503,0.0443754778221952,0.011033529839238554,4.34712457751079,0.0443754778221952,0.011033529839238554
2027,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,158.86358283723416,79.7177458677241,79.14583696951006,0.5018,0.028005016140972137,0.024494887749248,2.2324967597475283,1.9386683923884314,4.171165152135959,0.5567314800395258,0.4183056264166444,0.42176627275721645,0.941583517482057,2.3222189486379463,64.70870868167022,67.03092763030816,67.00330121011756,0.03464399241862723,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.027626420190600243,2.2111089399338795,67.00330121011756,0.11111000870406684,0.027626420190600243,6.669343526148737,0.15548548652626204,0.0386599500298388
