analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining
SA1_AR6_fixed_split,SSP2-4.5,S2,"NATO→3.5%, nonNATO→3.5%",0.055,101.11669962487794,74.82635772240967,57.5587367095459,7.126319783086635,42.4412632904541
SA1_AR6_fixed_split,SSP2-4.5,S2,"NATO→3.5%, nonNATO→3.5%",0.07,128.69398134075377,95.23354619215779,73.25657399396754,9.069861542110266,26.743426006032465
SA1_AR6_fixed_split,SSP2-4.5,S3,"NATO→5%, nonNATO→3.5%",0.033,71.9417114231477,53.236866453129295,40.95143573317638,5.070177757440885,59.04856426682362
SA1_AR6_fixed_split,SSP2-4.5,S3,"NATO→5%, nonNATO→3.5%",0.055,119.90285237191283,88.7281107552155,68.2523928886273,8.450296262401476,31.7476071113727
SA1_AR6_fixed_split,SSP2-4.5,S3,"NATO→5%, nonNATO→3.5%",0.07,152.60363029152543,112.92668641572882,86.86668185825293,10.754922515783697,13.133318141747068
SA1_AR6_fixed_split,SSP3-7.0,S0,Baseline,0.033,61.63515661594031,45.61001589579583,35.08462761215064,4.343811037694842,64.91537238784936
SA1_AR6_fixed_split,SSP3-7.0,S0,Baseline,0.055,102.72526102656718,76.01669315965971,58.47437935358439,7.2396850628247345,41.52562064641561
SA1_AR6_fixed_split,SSP3-7.0,S0,Baseline,0.07,130.74124130654005,96.74851856683964,74.4219373591074,9.214144625413297,25.578062640892597
SA1_AR6_fixed_split,SSP3-7.0,S1,"NATO→3.5%, nonNATO holds",0.033,69.87818745007812,51.709858713057805,39.776814394659844,4.924748448862648,60.223185605340156
SA1_AR6_fixed_split,SSP3-7.0,S1,"NATO→3.5%, nonNATO holds",0.055,116.4636457501302,86.18309785509635,66.29469065776642,8.207914081437748,33.705309342233576
SA1_AR6_fixed_split,SSP3-7.0,S1,"NATO→3.5%, nonNATO holds",0.07,148.22645822743843,109.68757908830443,84.37506083715725,10.446436103648042,15.62493916284275
SA1_AR6_fixed_split,SSP3-7.0,S2,"NATO→3.5%, nonNATO→3.5%",0.033,82.16881253995837,60.80492127956919,46.77301636889938,5.7909448837684945,53.22698363110062
SA1_AR6_fixed_split,SSP3-7.0,S2,"NATO→3.5%, nonNATO→3.5%",0.055,136.9480208999306,101.34153546594865,77.95502728149897,9.651574806280824,22.04497271850103
SA1_AR6_fixed_split,SSP3-7.0,S2,"NATO→3.5%, nonNATO→3.5%",0.07,174.29748114536622,128.980136047571,99.2154892673623,12.283822480721048,0.784510732637699
SA1_AR6_fixed_split,SSP3-7.0,S3,"NATO→5%, nonNATO→3.5%",0.033,97.62449535396675,72.2421265619354,55.570866586104145,6.880202529708133,44.429133413895855
SA1_AR6_fixed_split,SSP3-7.0,S3,"NATO→5%, nonNATO→3.5%",0.055,162.70749225661126,120.40354426989234,92.61811097684026,11.467004216180223,7.381889023159744
SA1_AR6_fixed_split,SSP3-7.0,S3,"NATO→5%, nonNATO→3.5%",0.07,207.0822628720507,153.2408745253175,117.87759578870578,14.594369002411192,-17.877595788705776
SA1_AR6_fixed_split,SSP5-8.5,S0,Baseline,0.033,67.92778631613096,50.266561873936915,38.66658605687455,4.787291607041611,61.33341394312545
SA1_AR6_fixed_split,SSP5-8.5,S0,Baseline,0.055,113.2129771935516,83.77760312322818,64.44431009479091,7.9788193450693505,35.55568990520909
SA1_AR6_fixed_split,SSP5-8.5,S0,Baseline,0.07,144.08924370088386,106.62604033865405,82.02003102973389,10.15486098463372,17.979968970266114
SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,77.19469659658913,57.124075481475955,43.94159652421227,5.440388141092948,56.05840347578773
SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.055,128.65782766098187,95.20679246912658,73.23599420702044,9.067313568488245,26.76400579297956
SA1_AR6_fixed_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.07,163.74632611397692,121.17228132434292,93.20944717257147,11.540217268985039,6.790552827428527
SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,91.01195899563015,67.34884965676632,51.80680742828178,6.414176157787268,48.19319257171822
SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.055,151.68659832605024,112.24808276127717,86.3446790471363,10.690293596312113,13.655320952863704
SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.07,193.05567059679123,142.86119624162552,109.89322787817348,13.605828213488143,-9.893227878173477
SA1_AR6_fixed_split,SSP5-8.5,S3,"NATO→5%, nonNATO→3.5%",0.033,108.38741577148919,80.206687670902,61.69745205454,7.638732159133524,38.30254794546
SA1_AR6_fixed_split,SSP5-8.5,S3,"NATO→5%, nonNATO→3.5%",0.055,180.64569295248197,133.67781278483665,102.82908675756664,12.731220265222538,-2.8290867575666425
SA1_AR6_fixed_split,SSP5-8.5,S3,"NATO→5%, nonNATO→3.5%",0.07,229.9127001213407,170.13539808979212,130.87338314599393,16.203371246646867,-30.873383145993927
