analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining
SA2_AR6_dynamic_v32_split,SSP2-4.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,60.65771694092933,44.88671053628771,34.52823887406747,4.274924812979782,65.47176112593253
SA2_AR6_dynamic_v32_split,SSP2-4.5,S2,"NATO→3.5%, nonNATO→3.5%",0.055,101.09619490154888,74.81118422714617,57.54706479011244,7.124874688299635,42.45293520988756
SA2_AR6_dynamic_v32_split,SSP2-4.5,S2,"NATO→3.5%, nonNATO→3.5%",0.07,128.66788442015314,95.21423447091333,73.24171882377948,9.068022330563174,26.75828117622052
SA2_AR6_dynamic_v32_split,SSP2-4.5,S3,"NATO→5%, nonNATO→3.5%",0.033,66.72417713061166,49.37589107665263,37.98145467434817,4.702465816824059,62.01854532565183
SA2_AR6_dynamic_v32_split,SSP2-4.5,S3,"NATO→5%, nonNATO→3.5%",0.055,111.20696188435276,82.29315179442105,63.30242445724696,7.8374430280400995,36.69757554275304
SA2_AR6_dynamic_v32_split,SSP2-4.5,S3,"NATO→5%, nonNATO→3.5%",0.07,141.53613330735809,104.73673864744498,80.56672203649615,9.974927490232856,19.433277963503855
SA2_AR6_dynamic_v32_split,SSP3-7.0,S0,Baseline,0.033,61.345545600707176,45.39570374452331,34.919772111171774,4.323400356621267,65.08022788882823
SA2_AR6_dynamic_v32_split,SSP3-7.0,S0,Baseline,0.055,102.24257600117862,75.65950624087218,58.19962018528629,7.205667261035446,41.80037981471371
SA2_AR6_dynamic_v32_split,SSP3-7.0,S0,Baseline,0.07,130.12691491059098,96.29391703383733,74.07224387218257,9.17084924131784,25.92775612781743
SA2_AR6_dynamic_v32_split,SSP3-7.0,S1,"NATO→3.5%, nonNATO holds",0.033,65.81085416681846,48.700032083445656,37.461563141112045,4.638098293661491,62.538436858887955
SA2_AR6_dynamic_v32_split,SSP3-7.0,S1,"NATO→3.5%, nonNATO holds",0.055,109.68475694469744,81.1667201390761,62.43593856852008,7.7301638227691525,37.56406143147992
SA2_AR6_dynamic_v32_split,SSP3-7.0,S1,"NATO→3.5%, nonNATO holds",0.07,139.59878156597856,103.30309835882413,79.4639218144801,9.838390319888013,20.536078185519898
SA2_AR6_dynamic_v32_split,SSP3-7.0,S2,"NATO→3.5%, nonNATO→3.5%",0.033,82.15321806949378,60.79338137142539,46.76413951648107,5.789845844897656,53.23586048351893
SA2_AR6_dynamic_v32_split,SSP3-7.0,S2,"NATO→3.5%, nonNATO→3.5%",0.055,136.92203011582296,101.32230228570899,77.94023252746845,9.649743074829427,22.059767472531547
SA2_AR6_dynamic_v32_split,SSP3-7.0,S2,"NATO→3.5%, nonNATO→3.5%",0.07,174.26440196559284,128.9556574545387,99.19665958041439,12.281491186146543,0.8033404195856093
