year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,model_family
2049,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,3.2270392224215976,2.7275229139275408,5.954562136349138,0.8039840324552832,0.35420275555722264,4.787372877887526,82.25577035643113,87.04314323431865,0.055,Original model reference case
2050,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,3.3238503990942454,2.8093486013453672,6.133199000439612,0.7959441921307304,0.35066072800165043,4.881684123581911,83.87620903245283,88.75789315603474,0.055,Original model reference case
2025,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.587489462,1.341760538,2.9292499999999997,1.023299479388922,0.45082424616435024,2.9974999999999996,51.5025,54.5,0.05499999999999999,Original model reference case
2026,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.02740877593256891,0.022985547972701727,1.6598695277055757,1.3820133541400001,3.041882881845576,1.0130664845950328,0.44631600370270674,3.081629597661105,52.506050526904545,55.58768012456565,0.05543727658278821,Original model reference case
2027,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.028005016140972137,0.022985547972701727,1.7468570366131633,1.4234737547641998,3.170330791377363,1.0029358197490825,0.4418528436656797,3.1796383111258133,53.523986586238266,56.70362489736408,0.056074692171463304,Original model reference case
2028,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.028820930945768986,0.022985547972701727,1.8516835392650228,1.466177967407126,3.317861506672149,0.9929064615515917,0.4374343152290229,3.294326128508076,54.55547846893022,57.84980459743829,0.056946192842524404,Original model reference case
2029,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.029845109579542582,0.022985547972701727,1.975009384227963,1.51016330642934,3.4851726906573033,0.9829773969360758,0.43305997207673264,3.425845979335015,55.60087060844643,59.02671658778144,0.05803890470919683,Original model reference case
2030,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.030999999999995285,0.022985547972701727,2.112977654523853,1.5554682056222198,3.6684458601460728,0.973147622966715,0.42872937235596525,3.569939368783237,56.66245904551472,60.23239841429796,0.05926942082279435,Original model reference case
2031,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.03215489042044799,0.022985547972701727,2.257446512591691,1.6021322517908867,3.8595787643825776,0.9634161467370479,0.4244420786324057,3.7183805012095994,57.74429592512911,61.46267642633871,0.06049818715047292,Original model reference case
2032,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.033179069054221584,0.022985547972701727,2.3992298505939478,1.6501962193446136,4.049426069938561,0.9537819852696773,0.4201976578460816,3.862269636188788,58.85073874042314,62.713008376611924,0.06158641940751124,Original model reference case
2033,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.03399498385901843,0.022985547972701727,2.531976810713982,1.6997021059249517,4.231678916638934,0.9442441654169805,0.41599568126762076,3.995738126954363,59.98481820918458,63.980556336138946,0.0624523817198726,Original model reference case
2034,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.034591224067421655,0.022985547972701727,2.6536768742950505,1.7506931691027006,4.404370043397751,0.9348017237628108,0.41183572445494454,4.117212708657504,61.14768144917871,65.26489415783621,0.06308464545580143,Original model reference case
2035,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.03499999999999057,0.022985547972701727,2.765587338911463,1.8032139641757814,4.568801303087245,0.9254537065251827,0.4077173672103951,4.2282141003191756,62.339121438189274,66.56733553850844,0.0635178510017605,Original model reference case
2036,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,2.848554959079574,1.8573103831010551,4.705865342180629,0.9161991694599309,0.40364019353829117,4.311509918096165,63.567202130521295,67.87871204861746,0.06351785100177046,Original model reference case
2037,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,2.934011607851961,1.9130296945940866,4.847041302446048,0.9070371777653315,0.39960379160290826,4.39644666348266,64.81947601249257,69.21592267597524,0.06351785100177046,Original model reference case
2038,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.0220319560875204,1.9704205854319092,4.992452541519429,0.8979668059876781,0.3956077536868791,4.483056662753268,66.09641968993867,70.57947635269194,0.06351785100177046,Original model reference case
2039,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.1126929147701463,2.029533202994867,5.142226117765013,0.8889871379278014,0.39165167615001034,4.571372879009508,67.39851915783046,71.96989203683997,0.06351785100177047,Original model reference case
2040,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.20607370221325,2.090419199084713,5.296492901297963,0.8800972665485234,0.3877351593885103,4.661428924725995,68.72626998523974,73.38769890996574,0.06351785100177045,Original model reference case
2041,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.302255913279648,2.153131775057254,5.455387688336902,0.8712962938830381,0.38385780779462514,4.753259074543097,70.08017750394896,74.83343657849205,0.06351785100177045,Original model reference case
2042,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.4013235906780372,2.217725728308972,5.61904931898701,0.8625833309442077,0.3800192297166789,4.846898278311596,71.46075700077674,76.30765527908834,0.06351785100177046,Original model reference case
2043,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.5033632983983796,2.2842575001582412,5.78762079855662,0.8539574976347656,0.37621903741951207,4.942382174394335,72.86853391369205,77.81091608808639,0.06351785100177046,Original model reference case
