year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,analysis,GDP_valuation,GDP_world_2025_calibrated,s_NATO_GDP_2025_calibrated,m_nonNATO_2025_calibrated,cum_E_mil_Gt,E_mil_S0_Gt,incremental_E_mil_vs_S0_Gt,cum_incremental_E_mil_vs_S0_Gt
2035,S0,Baseline,0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,2.5573728489153322,4.509166629142082,7.066539478057415,0.30933413402459703,0.23242121802780522,2.1859218699955183,64.05413479653532,66.24005666653085,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,21.852006641341593,2.1859218699955183,0.0,0.0
2025,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,1.9029255750000003,3.3552434500000006,5.258169025000001,0.34203921392580183,0.2569944987305753,1.7985000000000002,52.70150000000001,54.50000000000001,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,1.7985000000000002,1.7985000000000002,0.0,0.0
2026,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.02740877593256891,0.023992067003357848,1.9896876489842874,3.4559007535000004,5.4455884024842875,0.3386188217865438,0.25442455374326955,1.8439787287836966,53.73216967775149,55.57614840653519,0.0331793184964013,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,3.642478728783697,1.83393045,0.01004827878369663,0.01004827878369663
2027,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.028005016140972137,0.023992067003357848,2.093959683141443,3.5595777761050007,5.653537459246444,0.3352326335686784,0.25188030820583684,1.89525025144236,54.77946424245023,56.674714493892594,0.03344084338786738,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,5.537728980226056,1.8700588798650004,0.02519137157735951,0.03523965036105614
2028,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.028820930945768986,0.023992067003357848,2.2196153410900115,3.66636510938815,5.885980450478161,0.3318803072329916,0.24936150512377847,1.9534410002720746,55.84295059218081,57.796391592452885,0.03379866712175777,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,7.491169980498132,1.9068990397983407,0.04654196047373382,0.08178161083478996
2029,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.029845109579542582,0.023992067003357848,2.367446183471039,3.7763560626697954,6.143802246140835,0.32856150416066165,0.24686789007254067,2.0186169072576843,56.92300058338135,58.94161749063904,0.034247735186064006,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,9.509786887755816,1.9444649508823681,0.07415195637531613,0.1559335672101061
2030,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.030999999999995285,0.023992067003357848,2.532828919148413,3.889646744549889,6.422475663698302,0.32527588911905503,0.24439921117181526,2.089076481854958,58.02132234412495,60.11039882597991,0.03475399469404373,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,11.598863369610774,1.9827709104147502,0.10630557144020791,0.262239138650314
2031,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.03215489042044799,0.023992067003357848,2.7060039174013046,4.006336146886386,6.712340064287691,0.3220231302278645,0.24195521906009712,2.1615287586558276,59.14082673494543,61.302355493601254,0.03526012567137731,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,13.760392128266602,2.0218314973499214,0.1396972613059062,0.4019363999562202
2032,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.033179069054221584,0.023992067003357848,2.8759597794411387,4.126526231292978,7.002486010734117,0.31880289892558583,0.23953566686949612,2.2324128399078975,60.284636064458944,62.51704890436684,0.03570886468622102,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,15.992804968174498,2.061661577847715,0.17075126206018254,0.5726876620164028
2033,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.03399498385901843,0.023992067003357848,3.035083724174398,4.250322018231768,7.285405742406166,0.31561486993633,0.23714031020080117,2.2993823858229137,61.45496887314103,63.75435125896394,0.03606628160143999,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,18.292187353997413,2.102276310931315,0.19710607489159848,0.7697937369080012
2034,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.034591224067421655,0.023992067003357848,3.180965740408872,4.377831678778721,7.558797419187593,0.31245872123696666,0.23476890709879317,2.361812175688639,62.65275949709151,65.01457167278015,0.03632742806606025,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,20.65399952968605,2.1436911542566617,0.21812102143197754,0.9879147583399788
2035,S1,"NATO→3.5%, nonNATO holds",0.033,0.03,0.01,0.01,0.0,0.03499999999999057,0.023992067003357848,3.3151129522967597,4.509166629142082,7.824279581438842,0.30933413402459703,0.23242121802780522,2.4203167486907207,63.8780199187589,66.29833666744962,0.03650644752719746,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,23.074316278376774,2.1859218699955183,0.23439487869520237,1.2223096370351811
2025,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,1.9029255750000003,3.3552434500000006,5.258169025000001,0.34203921392580183,0.2569944987305753,1.7985000000000002,52.70150000000001,54.50000000000001,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,1.7985000000000002,1.7985000000000002,0.0,0.0
2026,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.02740877593256891,0.024554539262902658,1.9896876489842874,3.536921213525879,5.526608862510167,0.3386188217865438,0.25442455374326955,1.8714137814982637,53.71155608336533,55.58296986486359,0.033668833926077515,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,3.6699137814982636,1.83393045,0.03748333149826366,0.03748333149826366
2027,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.028005016140972137,0.02537496079590349,2.093959683141443,3.7647505113249418,5.858710194466385,0.3352326335686784,0.25188030820583684,1.96403084780663,54.727785270667596,56.69181611847423,0.03464399241862723,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,5.633944629304894,1.8700588798650004,0.09397196794162954,0.1314552994398932
2028,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.028820930945768986,0.026497652733675,2.2196153410900115,4.049258008900724,6.268873349990735,0.3318803072329916,0.24936150512377847,2.0805156133996388,55.74747184245716,57.8279874558568,0.03597765900097782,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,7.714460242704533,1.9068990397983407,0.173616573601298,0.3050718730411912
2029,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.029845109579542582,0.02790691395582153,2.367446183471039,4.39255374256505,6.759999926036089,0.32856150416066165,0.24686789007254067,2.221075743824379,56.77088116227802,58.9919569061024,0.03765048424075283,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,9.935535986528912,1.9444649508823681,0.27661079294201074,0.581682665983202
